,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff,Points_Diff
161,AEK,Larisa,H,6.0,7.0,2.2,0.6,14.6,6.8,2.0,0.0,53.0,9.0,1.0,1.8,10.6,11.0,1.0,2.0,21.0,5.0,1642.314379710882,1309.3799270881782,332.9344526227037,32.0
163,Asteras Tripolis,Panserraikos,A,7.0,7.0,0.8,2.0,7.4,15.6,1.0,4.0,16.0,3.0,1.2,2.6,5.0,16.2,1.0,3.0,12.0,4.0,1277.8291889962468,1241.978387406794,35.850801589452885,4.0
164,Volos NFC,OFI Crete,D,7.0,4.0,0.8,1.8,11.6,11.0,0.0,3.0,27.0,2.0,1.8,2.0,6.8,14.8,2.0,2.0,28.0,7.0,1352.8939058032338,1378.2729150180448,-25.37900921481105,-1.0
165,Levadeiakos,Panathinaikos,A,8.0,4.0,1.0,1.8,7.2,15.2,1.0,3.0,39.0,4.0,2.2,0.6,12.6,8.2,4.0,0.0,42.0,13.0,1395.4758308771832,1548.038486241528,-152.5626553643449,-3.0
166,Olympiakos,PAOK,D,7.0,4.0,1.4,0.4,20.6,4.4,3.0,1.0,53.0,10.0,1.4,0.4,12.4,7.2,2.0,0.0,53.0,9.0,1635.9593782078455,1631.237662995876,4.721715211969467,0.0
167,Panetolikos,Kifisia,H,9.0,5.0,1.4,1.2,7.2,15.2,2.0,3.0,21.0,6.0,1.0,1.6,13.2,10.8,1.0,2.0,24.0,5.0,1282.234649726533,1306.2175688828215,-23.982919156288517,-3.0
168,OFI Crete,Olympiakos,A,6.0,6.0,1.4,1.8,7.0,16.2,1.0,2.0,29.0,5.0,0.8,0.4,20.4,4.8,2.0,1.0,54.0,8.0,1377.726037398665,1635.85745806623,-258.13142066756495,-25.0
169,Panserraikos,Aris,D,6.0,7.0,1.2,1.8,6.0,15.2,2.0,2.0,15.0,7.0,0.6,1.0,11.2,12.8,0.0,1.0,29.0,4.0,1250.249554101397,1469.8715303701804,-219.62197626878333,-14.0
170,Larisa,Asteras Tripolis,D,7.0,6.0,0.6,2.0,8.8,12.6,0.0,3.0,21.0,2.0,0.8,1.6,8.4,13.6,1.0,4.0,16.0,3.0,1307.4561830707669,1269.5580223016436,37.89816076912325,5.0
174,PAOK,Levadeiakos,H,7.0,7.0,1.4,0.4,10.8,9.4,2.0,0.0,54.0,9.0,0.6,2.4,6.6,14.4,0.0,4.0,39.0,1.0,1631.3395831374914,1391.0726331185408,240.26695001895064,15.0
173,Kifisia,Volos NFC,H,6.0,7.0,1.2,1.8,12.8,12.2,1.0,2.0,24.0,5.0,1.0,1.6,12.4,9.8,0.0,2.0,28.0,3.0,1298.2006766789732,1353.4407834226135,-55.240106743640354,-4.0
171,Panathinaikos,Panetolikos,D,7.0,6.0,2.8,0.8,14.0,7.2,4.0,0.0,45.0,13.0,1.8,1.2,9.8,12.6,3.0,2.0,24.0,9.0,1552.4416840001704,1290.2515419303813,262.1901420697891,21.0
172,Atromitos,AEK,D,8.0,8.0,1.2,0.6,10.0,9.0,3.0,0.0,28.0,11.0,2.2,0.4,16.8,6.4,3.0,0.0,56.0,11.0,1327.706227289541,1644.2381237282932,-316.53189643875226,-28.0
175,AEK,Kifisia,H,7.0,7.0,1.8,0.8,15.6,8.2,2.0,0.0,57.0,9.0,1.2,1.4,10.2,13.2,2.0,2.0,27.0,7.0,1638.825847627466,1306.8831827874485,331.9426648400174,30.0
176,Aris,OFI Crete,A,8.0,8.0,0.6,1.0,11.4,12.8,0.0,1.0,30.0,4.0,1.0,2.0,6.2,14.0,1.0,3.0,29.0,4.0,1465.6751885822273,1374.9580226641997,90.7171659180276,1.0
177,Asteras Tripolis,Panathinaikos,A,8.0,7.0,0.6,1.8,9.6,14.2,0.0,4.0,17.0,1.0,2.6,0.6,14.2,7.8,4.0,0.0,46.0,13.0,1270.3728905557139,1547.6573495180683,-277.2844589623544,-29.0
178,Levadeiakos,Atromitos,H,7.0,7.0,0.2,2.4,5.4,14.0,0.0,4.0,39.0,1.0,1.4,1.0,11.0,9.6,2.0,0.0,29.0,9.0,1388.0649298327232,1333.1185033903682,54.946426442355005,10.0
179,Olympiakos,Larisa,D,8.0,8.0,1.4,0.2,20.8,3.8,3.0,0.0,57.0,11.0,0.6,1.4,9.6,14.0,0.0,2.0,22.0,3.0,1638.6254728006954,1306.6413148166966,331.9841579839988,35.0
180,Panetolikos,Panserraikos,D,7.0,8.0,1.0,1.0,10.4,13.8,2.0,2.0,25.0,7.0,1.2,1.0,8.0,13.0,2.0,1.0,16.0,8.0,1295.0358764124835,1254.4458958893501,40.58998052313336,9.0
181,Volos NFC,PAOK,H,7.0,7.0,1.0,1.6,12.2,10.4,0.0,2.0,28.0,3.0,2.0,0.4,11.0,7.6,3.0,0.0,57.0,11.0,1344.7582773141382,1634.347286423309,-289.5890091091708,-29.0
183,Kifisia,Panserraikos,A,13.0,13.0,1.0,1.8,10.2,10.8,2.0,3.0,27.0,6.0,0.8,0.6,8.6,14.4,2.0,1.0,17.0,8.0,1304.9498439810134,1255.3181363625852,49.63170761842821,10.0
182,Asteras Tripolis,Larisa,H,13.0,13.0,0.6,1.6,9.8,13.4,0.0,4.0,17.0,1.0,0.4,1.2,8.6,17.8,0.0,2.0,23.0,3.0,1267.8451427769778,1312.2083782406544,-44.363235463676574,-6.0
184,Panetolikos,Atromitos,D,13.0,13.0,0.4,0.8,11.6,14.2,1.0,2.0,26.0,5.0,1.0,0.8,10.6,10.4,2.0,1.0,29.0,8.0,1294.1636359392485,1326.7948266737092,-32.63119073446069,-3.0
185,Levadeiakos,Aris,D,14.0,14.0,0.4,2.4,6.8,12.0,1.0,4.0,42.0,3.0,0.4,1.2,17.6,11.2,0.0,2.0,30.0,3.0,1394.3886065493823,1456.2602227427892,-61.87161619340691,12.0
186,Volos NFC,OFI Crete,D,14.0,14.0,1.2,1.6,10.8,11.4,1.0,2.0,31.0,5.0,1.4,1.6,7.0,18.6,2.0,2.0,32.0,7.0,1357.3759255240846,1384.3729885036378,-26.99706297955322,-1.0
