,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff
96,Augsburg,Hamburg,H,13.0,14.0,1.2,2.4,12.2,12.0,1.0,3.0,7.0,4.0,1.4,1.6,15.4,13.4,1.0,3.0,9.0,4.0,1536.350479245497,1543.2962593879752,-6.94578014247827
95,Bayern Munich,Freiburg,H,14.0,13.0,2.6,0.6,16.8,6.8,4.0,0.0,28.0,13.0,0.8,1.0,11.0,10.8,1.0,1.0,13.0,6.0,1943.154764542037,1635.1179727600957,308.03679178194125
94,Dortmund,Stuttgart,D,14.0,13.0,1.0,0.8,14.4,10.2,2.0,1.0,21.0,8.0,2.0,1.2,16.6,12.4,4.0,1.0,21.0,12.0,1842.949147396905,1558.7289113997385,284.22023599716636
93,Heidenheim,M'gladbach,A,14.0,14.0,0.8,2.6,11.6,16.8,0.0,3.0,5.0,2.0,1.6,1.4,8.4,18.0,2.0,2.0,9.0,7.0,1504.4046811012952,1574.1283027227666,-69.72362162147147
92,Wolfsburg,Leverkusen,A,15.0,14.0,1.0,2.2,10.0,16.4,1.0,4.0,8.0,3.0,2.8,1.2,18.2,10.2,4.0,1.0,20.0,12.0,1554.8214989297562,1817.0634197067918,-262.2419207770356
91,FC Koln,Ein Frankfurt,A,14.0,13.0,1.4,1.2,13.2,14.4,2.0,2.0,14.0,7.0,1.2,1.2,10.8,9.0,2.0,1.0,17.0,8.0,1549.6547642226437,1657.0935312268118,-107.43876700416808
97,RB Leipzig,Werder Bremen,H,15.0,16.0,2.6,1.2,14.2,14.2,3.0,1.0,22.0,10.0,1.4,0.8,13.4,14.6,3.0,0.0,15.0,11.0,1744.9221685391794,1615.5898336184634,129.332334920716
98,St Pauli,Union Berlin,A,14.0,15.0,0.2,2.4,11.0,12.4,0.0,5.0,7.0,0.0,1.0,1.2,12.2,13.8,1.0,2.0,12.0,5.0,1507.775841641513,1588.9233756921826,-81.14753405066972
99,M'gladbach,RB Leipzig,D,6.0,5.0,2.2,1.4,9.8,17.0,3.0,2.0,12.0,9.0,2.8,1.0,16.0,14.2,4.0,1.0,25.0,12.0,1582.148008439323,1751.3626007090768,-169.2145922697539
104,Union Berlin,Heidenheim,A,6.0,7.0,1.2,0.8,11.8,12.2,2.0,1.0,15.0,8.0,0.8,3.0,12.0,16.4,0.0,3.0,5.0,2.0,1596.6293251814204,1496.384975384739,100.24434979668149
103,Hoffenheim,Augsburg,H,8.0,7.0,2.6,1.0,13.8,13.6,4.0,0.0,20.0,13.0,0.8,2.2,12.8,12.2,1.0,3.0,10.0,4.0,1691.6154284362572,1546.550368239515,145.06506019674225
100,Leverkusen,Dortmund,A,7.0,7.0,3.0,1.4,15.6,12.4,4.0,1.0,23.0,12.0,1.4,1.2,14.2,10.8,2.0,1.0,22.0,8.0,1818.873421498615,1839.5791073866542,-20.70568588803917
101,Werder Bremen,FC Koln,D,6.0,7.0,1.2,1.2,13.4,16.4,2.0,1.0,15.0,8.0,1.8,2.0,13.4,13.6,1.0,3.0,14.0,4.0,1609.149401448566,1542.6521616263738,66.49723982219234
102,Bayern Munich,St Pauli,H,7.0,6.0,3.2,1.0,18.8,7.2,4.0,0.0,31.0,13.0,0.2,2.4,10.8,11.0,0.0,5.0,7.0,0.0,1944.6062099623646,1500.069892152275,444.5363178100895
105,Hamburg,Stuttgart,H,8.0,8.0,0.6,1.8,15.4,13.8,0.0,4.0,9.0,1.0,2.4,1.8,16.2,14.2,3.0,1.0,22.0,10.0,1533.0963703939572,1565.46899142024,-32.372621026282786
106,Ein Frankfurt,Wolfsburg,D,8.0,8.0,2.0,1.2,11.8,8.8,3.0,0.0,20.0,11.0,1.0,2.2,11.4,15.8,1.0,4.0,8.0,3.0,1664.0961338230818,1551.2014953461098,112.89463847697198
107,Freiburg,Mainz,H,8.0,9.0,1.2,2.2,10.2,13.4,1.0,2.0,13.0,5.0,1.2,1.8,11.0,15.4,0.0,3.0,6.0,2.0,1632.2150819194403,1582.2422877843574,49.97279413508295
108,Mainz,M'gladbach,A,5.0,7.0,0.6,1.8,8.8,16.0,0.0,3.0,6.0,2.0,2.0,0.8,9.8,17.8,3.0,1.0,13.0,10.0,1573.6707830722319,1586.666638087493,-12.995855015261213
109,Augsburg,Leverkusen,H,7.0,7.0,0.6,2.6,13.6,13.8,1.0,4.0,10.0,3.0,2.4,1.2,14.4,11.4,3.0,2.0,23.0,9.0,1540.4988505658735,1814.1710479994817,-273.6721974336083
110,FC Koln,St Pauli,D,7.0,7.0,1.8,2.0,13.6,15.0,1.0,3.0,15.0,4.0,0.4,2.4,10.8,12.0,0.0,5.0,7.0,0.0,1544.543073047922,1498.6333508973448,45.90972215057718
111,Heidenheim,Freiburg,H,7.0,6.0,0.8,2.8,7.8,16.0,1.0,3.0,8.0,4.0,1.6,1.8,12.4,12.0,2.0,2.0,16.0,7.0,1509.1927551600204,1640.7865866315658,-131.5938314715454
